task No.,task_name,earliest_time,latest_time
399,dwc_ext.usp_ww_phone_tracker_prelim_hist,778,1439
400,dwc_ext.usp_ww_phone_tracker_price_band_fcst,143,1439
401,dwc_ext.usp_ww_phone_tracker_segment_hist,171,1439
402,dwc_ext.usp_ww_services_ap_fcst,489,1439
403,dwc_ext.usp_ww_services_ap_foundation_hist,315,1439
404,dwc_ext.usp_ww_services_ap_industry_hist,639,1439
405,dwc_ext.usp_ww_smart_home_tracker_fcst,387,1439
406,dwc_ext.usp_ww_tablet_tracker_channel_fcst,596,1439
407,dwc_ext.usp_ww_tablet_tracker_channel_hist,718,1439
408,dwc_ext.usp_ww_tablet_tracker_detachable_channel_fcst,644,1439
409,dwc_ext.usp_ww_tablet_tracker_detachable_fcst,116,1439
410,dwc_ext.usp_ww_tablet_tracker_detachable_segment_fcst,453,1439
411,dwc_ext.usp_ww_tablet_tracker_period_channel_fcst,708,1439
412,dwc_ext.usp_ww_tablet_tracker_period_fcst,674,1439
413,dwc_ext.usp_ww_tablet_tracker_period_segment_fcst,774,1439
414,dwc_ext.usp_ww_tablet_tracker_screen_size_channel_fcst,716,1439
415,dwc_ext.usp_ww_tablet_tracker_screen_size_fcst,626,1439
416,dwc_ext.usp_ww_tablet_tracker_screen_size_segment_fcst,433,1439
417,dwc_ext.usp_ww_tablet_tracker_segment_fcst,701,1439
418,dwc_ext.usp_ww_tablet_tracker_segment_hist,500,1439
419,dwc_ext.usp_ww_tablet_tracker_segmentaddon_channel_fcst,780,1439
420,dwc_ext.usp_ww_tablet_tracker_segmentaddon_channel_hist,728,1439
421,dwc_ext.usp_ww_tablet_tracker_segmentaddon_fcst,591,1439
422,dwc_ext.usp_ww_tablet_tracker_segmentaddon_hist,624,1439
423,dwc_ext.usp_ww_tablet_tracker_segmentaddon_segment_fcst,42,1439
424,dwc_ext.usp_ww_tablet_tracker_segmentaddon_segment_hist,365,1439
425,dwc_fi.usp_backlog_master_fact,260,1439
426,dwc_fi.usp_base_ebr_master_fact_delta,47,1439
427,dwc_fi.usp_enterprise_and_public_sector_funding_high_lvl_data,565,1439
428,dwc_fi.usp_exp_backlog_to_mcmt,329,1439
429,dwc_fi.usp_fact_fi_pcsd_playbook_actual_dataset,226,1439
430,dwc_fi.usp_fact_fi_pcsd_playbook_adhoc_dataset,504,1439
431,dwc_fi.usp_fact_fi_pcsd_playbook_bpc_dataset,668,1439
432,dwc_fi.usp_fact_row_fi_meas_master_allocation,112,1439
433,dwc_fi.usp_fact_row_fi_meas_master_allocation_lgap,660,1439
434,dwc_fi.usp_fact_row_fi_meas_master_daily_delta_full,413,1439
435,dwc_fi.usp_fact_row_fi_meas_master_emea_specific_dummy_delta_full,42,1439
436,dwc_fi.usp_fact_row_fi_meas_master_self_update,702,1439
437,dwc_fi.usp_fact_row_fi_meas_master_service_upsell,680,1439
438,dwc_fi.usp_fact_row_fi_meas_master_to_ludp_delta_full,656,1439
439,dwc_fi.usp_fact_row_svc_upsell_master_delta,210,1439
440,dwc_fi.usp_fi_meas_actl_master_fact_prc_delta,728,1439
441,dwc_fi.usp_fi_meas_backlog_cc_dimension,695,1439
442,dwc_fi.usp_fin_meas_profit_performance_data_set,437,1439
443,dwc_fi.usp_fin_qtr_business_review_and_plan_of_record_data_set,324,1439
444,dwc_fi.usp_prc_fin_pnl_statement_sum_with_full_pti_fact_detal,529,1439
445,dwc_fi.usp_prc_new_ebr_sti_master_fact_delta,188,1439
446,dwc_fi.usp_prc_svc_upsell_booking_master_fact,712,1439
447,dwc_fi.usp_pscd_fin_meas_playbook_data_set,675,1439
448,dwc_fi.usp_row_fi_meas_pca_allo_fact,326,1439
449,dwc_fi.usp_row_fi_meas_pca_cons_fact_delta_full,393,1439
450,dwc_fi.usp_sw_detail_master_fact,507,1439
451,dwc_fi.usp_swr_master_fact,705,1439
452,dwc_ms.usp_acnt_crm_dwc,140,1439
453,dwc_ms.usp_acnt_cross_reference_dwc,797,1439
454,dwc_ms.usp_acnt_dwc,39,1439
455,dwc_ms.usp_acnt_hier_dwc,785,1439
456,dwc_ms.usp_bms_ww_chnl_inv_detail,36,1439
457,dwc_ms.usp_csdc_chnl_inv,123,1439
458,dwc_ms.usp_csdc_chnl_inv_bu_level6,367,1439
459,dwc_ms.usp_csdc_chnl_inv_im,634,1439
460,dwc_ms.usp_csdc_chnl_inv_match_customer4,461,1439
461,dwc_ms.usp_csdc_chnl_inv_region_flag,766,1439
462,dwc_ms.usp_csdc_chnl_inv_report_method,795,1439
463,dwc_ms.usp_csdc_inv_age,484,1439
464,dwc_ms.usp_csdc_inv_age_im,69,1439
465,dwc_ms.usp_csdc_sti_bu_lvl6_dwc,154,1439
466,dwc_ms.usp_csdc_sti_bypn_agency,682,1439
467,dwc_ms.usp_csdc_sti_bypn_customer,639,1439
468,dwc_ms.usp_csdc_sti_bypn_full,713,1439
469,dwc_ms.usp_csdc_sti_bypn_match_report_method,56,1439
470,dwc_ms.usp_csdc_sti_bypn_update_rtm,450,1439
471,dwc_ms.usp_csdc_sti_bysn_customer,142,1439
472,dwc_ms.usp_csdc_sti_jd_lock,733,1439
473,dwc_ms.usp_csdc_sti_pn_increment,42,1439
474,dwc_ms.usp_csdc_sti_update_pn_dwc,750,1439
475,dwc_ms.usp_csdc_stock_adj,297,1439
476,dwc_ms.usp_csdc_stock_adj_bu_level6,506,1439
477,dwc_ms.usp_csdc_stock_adj_im,61,1439
478,dwc_ms.usp_csdc_stock_adj_match_customer4,238,1439
479,dwc_ms.usp_csdc_stock_adj_patner_lock,337,1439
480,dwc_ms.usp_csdc_stock_adj_region_flag,799,1439
481,dwc_ms.usp_employee_territory_acnt,411,1439
482,dwc_ms.usp_exp_acnt_dwc,481,1439
483,dwc_ms.usp_fgi_inhouse_vmi,593,1439
484,dwc_ms.usp_fgi_inhouse_vmi_wo_order,396,1439
485,dwc_ms.usp_fgi_lecoo_ms_inventory,51,1439
486,dwc_ms.usp_lecoo_sales_data_dwc,345,1439
487,dwc_ms.usp_prc_csdc_activation,697,1439
488,dwc_ms.usp_prc_csdc_ssdc_activation_im,101,1439
489,dwc_ms.usp_prc_idg_fi_reporting_sale,600,1439
490,dwc_ms.usp_prc_operation_billing,24,1439
491,dwc_ms.usp_prc_quotation_proj_adb_sync,528,1439
492,dwc_ms.usp_prc_quotation_proj_product_adb_sync,213,1439
493,dwc_ms.usp_prc_ssdc_activation_im,361,1439
494,dwc_ms.usp_sell_in_kpi_dwc_bw_184update,783,1439
495,dwc_ms.usp_sell_in_kpi_dwc_bw_and_lecoo_duichong,126,1439
496,dwc_ms.usp_sell_in_kpi_dwc_bw_s4,68,1439
497,dwc_ms.usp_sell_in_kpi_dwc_cdc,347,1439
498,dwc_ms.usp_sell_in_kpi_dwc_common,558,1439
499,dwc_ms.usp_sell_in_kpi_dwc_con_additional_order,48,1439
500,dwc_ms.usp_sell_in_kpi_dwc_csdc,606,1439
501,dwc_ms.usp_sell_in_kpi_dwc_del_xc,195,1439
502,dwc_ms.usp_sell_in_kpi_dwc_finance_update,288,1439
503,dwc_ms.usp_sell_in_kpi_dwc_huishang,70,1439
504,dwc_ms.usp_sell_in_kpi_dwc_manual_adj,793,1439
505,dwc_ms.usp_sell_in_kpi_dwc_rel,619,1439
506,dwc_ms.usp_sell_in_kpi_dwc_rel_supply,671,1439
507,dwc_ms.usp_sell_in_kpi_dwc_sci,262,1439
508,dwc_ms.usp_sell_in_kpi_dwc_sci_update_his,43,1439
509,dwc_ms.usp_sell_in_kpi_dwc_xinchuang,26,1439
510,dwc_ms.usp_sell_in_kpi_dwc_xinchuang_supply,597,1439
511,dwc_ms.usp_so_dwc,429,1439
512,dwc_ms.usp_so_dwc_full,334,1439
513,dwc_ms.usp_ssdc_chnl_manual_inv_age,535,1439
514,dwc_ms.usp_ssdc_fgi_dwc,778,1439
515,dwc_ms.usp_ssdc_inv_adj_detail,654,1439
516,dwc_ms.usp_ssdc_jd_data_handle,92,1439
517,dwc_ms.usp_ssdc_sec_data_handle,730,1439
518,dwc_ms.usp_ssdc_sec_data_result_table,334,1439
519,dwc_ms.usp_ssdc_sti_bysn_adjust,33,1439
520,dwc_ms.usp_ssdc_sti_bysn_core_lbl,20,1439
521,dwc_ms.usp_ssdc_sti_bysn_core_main,64,1439
522,dwc_ms.usp_ssdc_sti_bysn_core_merge,517,1439
523,dwc_ms.usp_ssdc_sti_bysn_core_model,168,1439
524,dwc_ms.usp_ssdc_sti_bysn_core_pool,453,1439
525,dwc_ms.usp_ssdc_sti_bysn_init,6,1439
526,dwc_ms.usp_ssdc_sti_bysn_jd,753,1439
527,dwc_ms.usp_ssdc_sti_bysn_jd_init,388,1439
528,dwc_ms.usp_ssdc_sti_bysn_jd_init_history,124,1439
529,dwc_ms.usp_ssdc_sti_bysn_jd_prepare,751,1439
530,dwc_ms.usp_ssdc_sti_bysn_jd_sku,113,1439
531,dwc_ms.usp_ssdc_sti_bysn_job_on05,582,1439
532,dwc_ms.usp_ssdc_sti_bysn_job_on15,203,1439
533,dwc_ms.usp_ssdc_sti_bysn_job_on15_01,394,1439
534,dwc_ms.usp_ssdc_sti_bysn_std,569,1439
535,dwc_ms.usp_ssdc_wide_table_dimension_splicing,456,1439
536,dwc_ms.usp_svc_prc_rel_opportunity,93,1439
537,dwc_ms.usp_usp_sell_in_kpi_dwc_codata,369,1439
538,dwc_ms_prc_full_sale_order_prc_full,251,1439
539,dwc_ms_prc_full_sale_order_prc_merge,271,1439
540,dwc_ms_prc_quotation_proj_prc_full,485,1439
541,dwc_ms_prc_quotation_proj_product_prc_full,793,1439
542,dwc_prd.usp_product_master,150,1439
543,dwc_sc.usp_acc_box_commit,197,1439
544,dwc_sc.usp_acc_parts_inv_aging,261,1439
545,dwc_sc.usp_ca_projection,48,1439
546,dwc_sc.usp_deliv_accuracy,218,1439
547,dwc_sc.usp_deliv_serial_no,196,1439
548,dwc_sc.usp_dim_product,645,1439
549,dwc_sc.usp_finish_goods_shpmt,97,1439
550,dwc_sc.usp_inv,673,1439
551,dwc_sc.usp_long_term_fcst,177,1439
552,dwc_sc.usp_material_master,722,1439
553,dwc_sc.usp_mbg_bkt_master,135,1439
554,dwc_sc.usp_mbg_ctb,755,1439
555,dwc_sc.usp_mbg_fgi_aging,164,1439
556,dwc_sc.usp_mbg_geo_dim,724,1439
557,dwc_sc.usp_mbg_offset_ctb,740,1439
558,dwc_sc.usp_mbg_offset_one_plan,87,1439
559,dwc_sc.usp_mbg_offset_parts_ctb,703,1439
560,dwc_sc.usp_mbg_offset_parts_one_plan,120,1439
561,dwc_sc.usp_mbg_offset_parts_pdp,622,1439
562,dwc_sc.usp_mbg_offset_pdp,48,1439
563,dwc_sc.usp_mbg_one_plan,284,1439
564,dwc_sc.usp_mbg_parts_inv_aging,295,1439
565,dwc_sc.usp_mbg_parts_supply,89,1439
566,dwc_sc.usp_mbg_pdp,698,1439
567,dwc_sc.usp_mfg_order_close_rate,143,1439
568,dwc_sc.usp_on_time_deliv,182,1439
569,dwc_sc.usp_parts_inv,216,1439
570,dwc_sc.usp_pcg_box_commit,514,1439
571,dwc_sc.usp_pcg_geo_gross_fcst,118,1439
572,dwc_sc.usp_pcg_parts_inv_aging,180,1439
573,dwc_sc.usp_pcg_prc_inhouse_inv_aging,705,1439
574,dwc_sc.usp_pcg_prc_vendor_mgmt_inv_aging,360,1439
575,dwc_sc.usp_pcsd_backlog_01,670,1439
576,dwc_sc.usp_pcsd_backlog_02,678,1439
577,dwc_sc.usp_pcsd_backlog_sum,591,1439
578,dwc_sc.usp_pcsd_fgi_aging,710,1439
579,dwc_sc.usp_pcsd_order_detail_weekly,485,1439
580,dwc_sc.usp_pcsd_prc_backlog,84,1439
581,dwc_sc.usp_pcsd_prc_commercial_supply_sum,50,1439
582,dwc_sc.usp_pcsd_prc_cons_and_smb_dc_fgi_sum,172,1439
583,dwc_sc.usp_planned_ship_dt_history,304,1439
584,dwc_sc.usp_po,753,1439
585,dwc_sc.usp_po_gr,446,1439
586,dwc_sc.usp_prc_serial_no,206,1439
587,dwc_sc.usp_prc_shippable_qty,78,1439
588,dwc_sc.usp_prc_shippable_qty_v2,445,1439
589,dwc_sc.usp_prc_shpmt_and_shippable_qty,593,1439
590,dwc_sc.usp_prep_inv_gl_parts,493,1439
591,dwc_sc.usp_prep_sc_manufacture_wip_mo,703,1439
592,dwc_sc.usp_replenish,126,1439
593,dwc_sc.usp_site_dim,427,1439
594,dwc_sc.usp_source_site_mapping,688,1439
595,dwc_sc.usp_zbw_inv_gl_fgi,371,1439
596,dwc_srv.usp_booking_chnl_flg_information_determ,77,1439
597,dwc_srv.usp_con_svc_chnl_flg_information_determ,182,1439
598,dwc_srv.usp_con_svc_stb_registration_detail_dwc,780,1439
599,dwc_srv.usp_prc_svc_upsell_booking_master_fact_dwc_rel,277,1439
600,dwc_srv.usp_prc_svc_upsell_booking_master_fact_dwc_smb,576,1439
601,dwc_srv_ww.usp_svc_booking_simulation,512,1439
602,dwc_srv_ww.usp_svc_booking_simulation_backlog,307,1439
603,dwc_srv_ww.usp_svc_booking_simulation_billed,576,1439
604,dwc_srv_ww.usp_svc_booking_simulation_shipped,403,1439
605,dwc_srv_ww.usp_svc_hw_svc_option,358,1439
606,dwc_srv_ww.usp_svc_profit_center,269,1439
607,dwc_srv_ww.usp_svc_sw_ph_scope,521,1439
608,dwc_srv_ww.usp_svc_ww_bpc_seg,125,1439
609,dwc_srv_ww.usp_t_pcsd_backlog_st,698,1439
610,dwd_corp.usp_country,477,1439
611,dwd_corp.usp_dist_chnl,297,1439
612,dwd_corp.usp_div,226,1439
613,dwd_corp.usp_isg_china_lenovo_area_mapping,437,1439
614,dwd_corp.usp_isg_china_manage_region_and_lenovo_region_mapping,670,1439
615,dwd_corp.usp_iso_country,675,1439
616,dwd_corp.usp_iso_curr,418,1439
617,dwd_corp.usp_lenovo_employee,163,1439
618,dwd_corp.usp_lenovo_sales_office,43,1439
619,dwd_corp.usp_lenovo_sales_org,725,1439
620,dwd_corp.usp_prc_area_mapping,149,1439
621,dwd_corp.usp_prc_combat_unit,283,1439
622,dwd_corp.usp_prc_county_combat_unit_mapping,475,1439
623,dwd_corp.usp_prc_fight_region,639,1439
624,dwd_corp.usp_prc_manage_region,689,1439
625,dwd_corp.usp_prc_province_fight_region_mapping,378,1439
626,dwd_corp.usp_prc_province_sales_region_mapping,41,1439
627,dwd_corp.usp_prc_region,691,1439
628,dwd_corp.usp_prc_store,55,1439
629,dwd_corp.usp_province,306,1439
630,dwd_corp.usp_ref_isg_china_region_lenovo_leader_mapping,216,1439
631,dwd_corp.usp_sales_geo_hier,168,1439
632,dwd_corp.usp_units_of_meas,629,1439
633,dwd_fi.usp_acct_doc_type,471,1439
634,dwd_fi.usp_bpc_acnt,587,1439
635,dwd_fi.usp_bpc_case,722,1439
636,dwd_fi.usp_bpc_chnl,374,1439
637,dwd_fi.usp_bpc_cust,791,1439
638,dwd_fi.usp_bpc_geo,28,1439
639,dwd_fi.usp_bpc_layer,159,1439
640,dwd_fi.usp_bpc_product,621,1439
641,dwd_fi.usp_bpc_svc_meas,347,1439
642,dwd_fi.usp_bpc_time,351,1439
643,dwd_fi.usp_bpc_wwmeas,88,1439
644,dwd_fi.usp_bpc_wwmeas_for_sci,558,1439
645,dwd_fi.usp_chart_of_acnt,161,1439
646,dwd_fi.usp_combine_billing_condition_delta_full,32,1439
647,dwd_fi.usp_combine_billing_hdr_delta_full,589,1439
648,dwd_fi.usp_combine_billing_item_delta_full,289,1439
649,dwd_fi.usp_controlling_area,194,1439
650,dwd_fi.usp_cost_center,82,1439
651,dwd_fi.usp_curr,222,1439
652,dwd_fi.usp_dim_fi_pcsd_playbook_seg,48,1439
653,dwd_fi.usp_dim_fi_pcsd_product,259,1439
654,dwd_fi.usp_dim_fi_pcsd_product_ind,602,1439
655,dwd_fi.usp_dim_fi_pcsd_seg,197,1439
656,dwd_fi.usp_exrt,209,1439
657,dwd_fi.usp_fact_fi_actl_pnl_data_set,573,1439
658,dwd_fi.usp_fact_fi_playbook_ssg_dataset,525,1439
659,dwd_fi.usp_fi_acct_doc_delta_full,62,1439
660,dwd_fi.usp_fi_acct_doc_hdr_delta_full,596,1439
661,dwd_fi.usp_fi_meas_daily_transaction_tmc_projection_base_talend_to_mcmt_delta_full,463,1439
662,dwd_fi.usp_fi_meas_daily_transaction_tmc_projection_base_to_mcmt_sdms_delta_full,91,1439
663,dwd_fi.usp_fi_meas_pca_detail_fact_delete_dirty_data,712,1439
664,dwd_fi.usp_fi_meas_pca_detail_fact_delta_full,0,1439
665,dwd_fi.usp_fi_pcsd_bpc_dataset_series,221,1439
666,dwd_fi.usp_fi_pcsd_prd_series,64,1439
667,dwd_fi.usp_fi_qbr_product_det,792,1439
668,dwd_fi.usp_finance_pcsd_playbook_fctot_case,18,1439
669,dwd_fi.usp_finance_pcsd_product,637,1439
670,dwd_fi.usp_function_area,334,1439
671,dwd_fi.usp_isg_prc_billing,516,1439
672,dwd_fi.usp_isg_product_segment,405,1439
673,dwd_fi.usp_isg_seg_performance_order_loads_detail,428,1439
674,dwd_fi.usp_lenovo_company,619,1439
675,dwd_fi.usp_lsump_svc_upsell_cost_by_wo_delta,472,1439
676,dwd_fi.usp_movement_type,568,1439
677,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_ap_ps,47,1439
678,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_bia,263,1439
679,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_bmc_allocation,87,1439
680,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_delta_full,368,1439
681,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_emea_ps,178,1439
682,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_gaap,241,1439
683,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_na_chromebook,366,1439
684,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_na_topseller,174,1439
685,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_reset_dummy,650,1439
686,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_revenue_allocation,86,1439
687,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_software_split,270,1439
688,dwd_fi.usp_pcsd_row_fi_svc_upsell_fact_software_topseller,188,1439
689,dwd_fi.usp_po_condition_delta,275,1439
690,dwd_fi.usp_profit_center,114,1439
691,dwd_fi.usp_profit_performance_business_unit,796,1439
692,dwd_fi.usp_profit_performance_geo,790,1439
693,dwd_fi.usp_profit_performance_series,624,1439
694,dwd_fi.usp_svc_bpc_acnt,486,1439
695,dwd_fi.usp_svc_bpc_case,261,1439
696,dwd_fi.usp_svc_bpc_time,498,1439
697,dwd_fi.usp_swr_price_configration_table,595,1439
698,dwd_fi.usp_trading_partner,314,1439
699,dwd_fi.usp_ww_fi_pcsd_playbook_dm_geo,58,1439
700,dwd_fi.usp_ww_fi_ssg_product_mapping,689,1439
701,dwd_fi.usp_ww_fi_w1_account,753,1439
702,dwd_fi.usp_ww_fi_w1_channel,118,1439
703,dwd_fi.usp_ww_fi_w1_channel_mapping,87,1439
704,dwd_fi.usp_ww_fi_w1_geo,707,1439
705,dwd_fi.usp_ww_fi_w1_geo_mapping,59,1439
706,dwd_fi.usp_ww_fi_w1_layer,522,1439
707,dwd_fi.usp_ww_fi_w1_layer_mapping,723,1439
708,dwd_fi.usp_ww_fi_w1_product,711,1439
709,dwd_fi.usp_ww_fi_w1_segment,123,1439
710,dwd_fi.usp_ww_fi_w1_segment_mapping,228,1439
711,dwd_ms.usp_SMB_PRODUCT_SEG_BY_PH4,645,1439
712,dwd_ms.usp_acnt,344,1439
713,dwd_ms.usp_acnt_addr_rel,608,1439
714,dwd_ms.usp_acnt_alias_nm,593,1439
715,dwd_ms.usp_acnt_alt_identity,263,1439
716,dwd_ms.usp_acnt_crm,607,1439
717,dwd_ms.usp_acnt_identity_type,654,1439
718,dwd_ms.usp_acnt_nm_alias_type,631,1439
719,dwd_ms.usp_acnt_regional_dc,28,1439
720,dwd_ms.usp_acnt_rel,798,1439
721,dwd_ms.usp_acnt_sector_to_industry,14,1439
722,dwd_ms.usp_acnt_status,31,1439
723,dwd_ms.usp_acnt_status_rsn,554,1439
724,dwd_ms.usp_acnt_type,777,1439
725,dwd_ms.usp_bp_determ,670,1439
726,dwd_ms.usp_bp_sales_transaction,133,1439
727,dwd_ms.usp_bp_subtype,115,1439
728,dwd_ms.usp_bp_type,486,1439
729,dwd_ms.usp_business_group,371,1439
730,dwd_ms.usp_bysn_sti_data_source_lecoo_daily,766,1439
731,dwd_ms.usp_bysn_sti_data_source_lecoo_final,718,1439
732,dwd_ms.usp_bysn_sti_data_source_sec,775,1439
733,dwd_ms.usp_cdc_and_rdc_shipping_reverse,450,1439
734,dwd_ms.usp_china_idc_yoy_target,503,1439
735,dwd_ms.usp_ciop_prc_bms_con_reseller_transformation,216,1439
736,dwd_ms.usp_city,226,1439
737,dwd_ms.usp_con_cust_seg,49,1439
738,dwd_ms.usp_con_cust_segmentation4_determ,473,1439
739,dwd_ms.usp_con_lecoo_cust_seg_chnl_mapping,389,1439
740,dwd_ms.usp_con_product_seg_by_ph4,658,1439
741,dwd_ms.usp_con_push_out,518,1439
742,dwd_ms.usp_csdc_inv,624,1439
743,dwd_ms.usp_csdc_sec_by_sn_operate_data_pull,760,1439
744,dwd_ms.usp_csdc_sti_bypn_dwd,230,1439
745,dwd_ms.usp_csdc_sti_manual_data_pull,649,1439
746,dwd_ms.usp_csdc_stock_adj_dwd,347,1439
747,dwd_ms.usp_csdc_sync_inv_age,686,1439
748,dwd_ms.usp_cust_po_type,475,1439
749,dwd_ms.usp_domain_sales_skill,294,1439
750,dwd_ms.usp_exp_global_acnt_identification,705,1439
751,dwd_ms.usp_fact_prc_region_target_detail,201,1439
752,dwd_ms.usp_fgi_lecoo_ms_inventory,737,1439
753,dwd_ms.usp_first_trade,780,1439
754,dwd_ms.usp_fr_5s_bu_tree_mapping,596,1439
755,dwd_ms.usp_fr_t_0101_smb_bp_list,547,1439
756,dwd_ms.usp_fr_t_0102_bu_prf_mapping_new,58,1439
757,dwd_ms.usp_global_acnt_identification,442,1439
758,dwd_ms.usp_industry,635,1439
759,dwd_ms.usp_isg_junior_industry,721,1439
760,dwd_ms.usp_isg_prc_business_opportunity,584,1439
761,dwd_ms.usp_isg_prc_calendar,632,1439
762,dwd_ms.usp_isg_prc_execute_proj,657,1439
763,dwd_ms.usp_isg_prc_execute_proj_product_ln_item,741,1439
764,dwd_ms.usp_isg_prc_execute_proj_product_ln_item_subproduct,384,1439
765,dwd_ms.usp_isg_prc_joint_venture_hw_order,708,1439
766,dwd_ms.usp_isg_prc_joint_venture_pipeline,11,1439
767,dwd_ms.usp_isg_prc_joint_venture_svc_order,599,1439
768,dwd_ms.usp_isg_prc_reduction_exrt,708,1439
769,dwd_ms.usp_isg_prc_so,96,1439
770,dwd_ms.usp_isg_prc_so_ln,135,1439
771,dwd_ms.usp_isg_prc_svc_order,781,1439
772,dwd_ms.usp_isg_rel_industry,395,1439
773,dwd_ms.usp_isg_senior_industry,8,1439
774,dwd_ms.usp_l3_l4_lenovo_business_unit_agreement_sales_area,21,1439
775,dwd_ms.usp_lecoo_affiliated_cust,789,1439
776,dwd_ms.usp_lecoo_bulevel6_mapping,385,1439
777,dwd_ms.usp_lecoo_daily_sales_data,447,1439
778,dwd_ms.usp_lecoo_final_sales_data,552,1439
779,dwd_ms.usp_lecoo_internal_supplier,607,1439
780,dwd_ms.usp_lecoo_lebei_store_info,106,1439
781,dwd_ms.usp_lecoo_prc_province,138,1439
782,dwd_ms.usp_main_trade,45,1439
783,dwd_ms.usp_manageregion,220,1439
784,dwd_ms.usp_mktg_status_rad,618,1439
785,dwd_ms.usp_postal_addr,129,1439
786,dwd_ms.usp_prc_acnt,577,1439
787,dwd_ms.usp_prc_bp_purchasing_right_information,797,1439
788,dwd_ms.usp_prc_business_unit_lvl,312,1439
789,dwd_ms.usp_prc_consumer_stock_transfer,702,1439
790,dwd_ms.usp_prc_csdc_moto_offline_chnl_activation,110,1439
791,dwd_ms.usp_prc_csdc_ssdc_activation_dwd,441,1439
792,dwd_ms.usp_prc_daily_cadence_and_target_cadence,551,1439
793,dwd_ms.usp_prc_daily_cadence_and_target_cadence_sell_through_in,228,1439
794,dwd_ms.usp_prc_daily_cadence_and_target_target,484,1439
795,dwd_ms.usp_prc_daily_cadence_and_target_target_sell_through_in,701,1439
796,dwd_ms.usp_prc_fiscal_week_calendar,410,1439
797,dwd_ms.usp_prc_isg_bu_hier,622,1439
798,dwd_ms.usp_prc_national_agent_and_reseller_mapping,757,1439
799,dwd_ms.usp_prc_opportunity_adb_sync,82,1439
800,dwd_ms.usp_prc_opportunity_detail_adb_sync,534,1439
801,dwd_ms.usp_prc_opportunity_detail_history_adb_sync,14,1439
802,dwd_ms.usp_prc_opportunity_history_adb_sync,639,1439
803,dwd_ms.usp_prc_opportunity_order_plan_adb_sync,658,1439
804,dwd_ms.usp_prc_opportunity_order_plan_detail_adb_sync,229,1439
805,dwd_ms.usp_prc_opportunity_order_plan_detail_history_adb_sync,410,1439
806,dwd_ms.usp_prc_opportunity_order_plan_history_adb_sync,654,1439
807,dwd_ms.usp_prc_product_character_value_adb_sync,725,1439
808,dwd_ms.usp_prc_product_div_mapping_adb_sync,273,1439
809,dwd_ms.usp_prc_product_hier_adb_sync,249,1439
810,dwd_ms.usp_prc_quotation_proj_adb_sync,763,1439
811,dwd_ms.usp_prc_quotation_proj_approval_adb_sync,467,1439
812,dwd_ms.usp_prc_quotation_proj_product_adb_sync,86,1439
813,dwd_ms.usp_prc_quotation_proj_product_dist_adb_sync,680,1439
814,dwd_ms.usp_prc_quotation_proj_product_supply_adb_sync,425,1439
815,dwd_ms.usp_prc_quotation_proj_supply_deduction_adb_sync,734,1439
816,dwd_ms.usp_prc_reseller_and_superior_distributor_mapping,172,1439
817,dwd_ms.usp_prc_sale_order_hdr,591,1439
818,dwd_ms.usp_prc_sale_order_ln_item,36,1439
819,dwd_ms.usp_prc_sale_product_base_adb_sync,771,1439
820,dwd_ms.usp_prc_sd_bu_hier,528,1439
821,dwd_ms.usp_prc_serial_no_lvl_chnl_stock_transfer_detail_widetable,498,1439
822,dwd_ms.usp_prc_so,293,1439
823,dwd_ms.usp_prc_so_item,46,1439
824,dwd_ms.usp_prcing_procedure,297,1439
825,dwd_ms.usp_price_list_type,647,1439
826,dwd_ms.usp_product_characteristic_mapping,613,1439
827,dwd_ms.usp_product_ln_to_business_unit,512,1439
828,dwd_ms.usp_proj_quotation,466,1439
829,dwd_ms.usp_ref_isg_china_acnt_sector_to_industry,90,1439
830,dwd_ms.usp_ref_isg_china_cust_lvl_mapping,449,1439
831,dwd_ms.usp_ref_isg_china_newsales3_leader,298,1439
832,dwd_ms.usp_ref_isg_china_presales_employee,544,1439
833,dwd_ms.usp_ref_lbl_formula_detail_adb_sync,150,1439
834,dwd_ms.usp_ref_prc_cto_product_characteristic_mapping,273,1439
835,dwd_ms.usp_ref_prc_fi_accounting,606,1439
836,dwd_ms.usp_ref_quotation_proj_product_div_mapping_adb_sync,113,1439
837,dwd_ms.usp_rel_city_std_nm,666,1439
838,dwd_ms.usp_rel_industry_order_info,513,1439
839,dwd_ms.usp_rel_thinkvision_product_mapping,193,1439
840,dwd_ms.usp_rel_xinchuang_info,7,1439
841,dwd_ms.usp_rel_xinchuang_order,134,1439
842,dwd_ms.usp_sales_territory,222,1439
843,dwd_ms.usp_sales_territory_acnt_type,474,1439
844,dwd_ms.usp_sec_data_all,690,1439
845,dwd_ms.usp_sec_trade,508,1439
846,dwd_ms.usp_smb_cust_seg,470,1439
